Location,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"Cambridge, MA",42.380442,-71.132947,1,place,,,"Cambridge, MA 02138",,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
"4340 Duncan Ave. Suite 234 St Louis, MO 63110-1110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave","Ste 234","Saint Louis, MO 63110",4340,"Duncan Ave",Ste,234,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"1005 North Warson Road Suite 375 St. Louis, MO 63132

",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd","Ste 375","Saint Louis, MO 63132",1005,"N Warson Rd",Ste,375,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1005 North Warson Road Suite 375 St. Louis, MO 63132

",38.676203,-90.395381,1,rooftop,"1005 N Warson Rd","Ste 375","Saint Louis, MO 63132",1005,"N Warson Rd",Ste,375,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"1100 Corporate Square Drive Saint Louis, MO 63132
",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr",,"Saint Louis, MO 63132",1100,"Corporate Square Dr",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
,0,0,0,,,,,"The query parameter is an empty string. Please supply a valid address.",,,,,,,,,
"3433 Tree Court Industrial Blvd, St. Louis, MO 63122",38.562307,-90.461798,1,rooftop,"3433 Tree Court Industrial Blvd",,"Saint Louis, MO 63122",3433,"Tree Court Industrial Blvd",,,"Saint Louis",MO,"St. Louis County",63122,US,"St Louis (CC0)"
"212 Kingshighway Blvd Box #28 Suite #115, St. Louis, MO 63108",38.644373,-90.263758,1,rooftop,"212 N Kingshighway Blvd","# 115","Saint Louis, MO 63108",212,"N Kingshighway Blvd",#,115,"Saint Louis",MO,"St. Louis City",63108,US,"City of St Louis"
"2909 Laclede Avenue. St. Louis, MO 63103",38.632257,-90.221049,1,rooftop,"2909 Laclede Ave",,"Saint Louis, MO 63103",2909,"Laclede Ave",,,"Saint Louis",MO,"St. Louis City",63103,US,"City of St Louis"
"1100 Corporate Square Dr, Creve Coeur, Missouri 63132, US",38.677479,-90.400576,1,rooftop,"1100 Corporate Square Dr",,"Saint Louis, MO 63132",1100,"Corporate Square Dr",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"975 North Warson Road Saint Louis, MO 63132",38.675875,-90.396818,1,rooftop,"975 N Warson Rd",,"Saint Louis, MO 63132",975,"N Warson Rd",,,"Saint Louis",MO,"St. Louis County",63132,US,"St Louis (CC0)"
"4320 Forest Park Avenue, Suite 304, St. Louis, Missouri 63108, US",38.637204,-90.252445,1,range_interpolation,"4320 Forest Park Ave","Ste 304","Saint Louis, MO 63108",4320,"Forest Park Ave",Ste,304,"Saint Louis",MO,"St. Louis City",63108,US,"TIGER/Line® from the US Census Bureau"
"444 Sovereign Ct, Manchester, MO 63011",38.600366,-90.490114,1,rooftop,"444 Sovereign Ct",,"Ballwin, MO 63011",444,"Sovereign Ct",,,Ballwin,MO,"St. Louis County",63011,US,"St Louis (CC0)"
"4340 Duncan Ave, St Louis, Missouri 63110, US",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",,"Saint Louis, MO 63110",4340,"Duncan Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"St. Louis",38.631501,-90.19231,1,place,,,"Saint Louis, MO 63101",,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"10411 Clayton Road Suite 302 Saint Louis, MO 63131",38.634053,-90.409754,1,rooftop,"10411 Clayton Rd","Ste 302","Saint Louis, MO 63131",10411,"Clayton Rd",Ste,302,"Saint Louis",MO,"St. Louis County",63131,US,"St Louis (CC0)"
"4766 La Guardia Dr, Berkeley, MO 63134",38.730491,-90.338124,1,rooftop,"4766 La Guardia Dr",,"Saint Louis, MO 63134",4766,"La Guardia Dr",,,"Saint Louis",MO,"St. Louis County",63134,US,"St Louis (CC0)"
"4633 World Parkway Circle Saint Louis, MO 63134
",38.729456,-90.33519,1,rooftop,"4633 World Parkway Cir",,"Saint Louis, MO 63134",4633,"World Parkway Cir",,,"Saint Louis",MO,"St. Louis County",63134,US,"St Louis (CC0)"
"4320 Forest Park Avenue Suite 304 Saint Louis, MO 63108
",38.637204,-90.252445,1,range_interpolation,"4320 Forest Park Ave","Ste 304","Saint Louis, MO 63108",4320,"Forest Park Ave",Ste,304,"Saint Louis",MO,"St. Louis City",63108,US,"TIGER/Line® from the US Census Bureau"
"1800 Owens St, San Francisco, CA 94158",37.765151,-122.392595,1,rooftop,"1800 Owens St",,"San Francisco, CA 94158",1800,"Owens St",,,"San Francisco",CA,"San Francisco County",94158,US,"San Francisco (City and County of San Francisco Public Domain Dedication and License (PDDL) v1.0)"
"4340 DUNCAN AVE, SAINT LOUIS, MO, 63110",38.636248,-90.255336,1,range_interpolation,"4340 Duncan Ave",,"Saint Louis, MO 63110",4340,"Duncan Ave",,,"Saint Louis",MO,"St. Louis City",63110,US,"TIGER/Line® from the US Census Bureau"
"4260 Forest Park Ave Suite 100, St. Louis, MO 63108",38.635619,-90.252069,1,rooftop,"4260 Forest Park Ave","Ste 100","Saint Louis, MO 63108",4260,"Forest Park Ave",Ste,100,"Saint Louis",MO,"St. Louis City",63108,US,"City of St Louis"
"85 West St 3rd Floor, Walpole, MA 02081",42.144959,-71.256951,1,rooftop,"85 West St","Ste 3","Walpole, MA 02081",85,"West St",Ste,3,Walpole,MA,"Norfolk County",02081,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
